Percent Change,Close,Date,Shift
0.003478261,11.46,05-04-2013,-
0.007853403,11.55,06-04-2013,+
0.003463203,11.59,07-04-2013,+
0.003451251,11.55,08-04-2013,-
0.004329004,11.5,11-04-2013,-
0.006956522,11.42,12-04-2013,-
0.000875657,11.43,13-04-2013,+
0.001749781,11.45,14-04-2013,+
0.001746725,11.47,15-04-2013,+
0.010462075,11.35,18-04-2013,-
0,11.35,19-04-2013,-
0.004405286,11.4,20-04-2013,+
0.020175439,11.63,21-04-2013,+
0.027515047,11.95,25-04-2013,+
0.00167364,11.93,26-04-2013,-
0.001676446,11.95,27-04-2013,+
0.008368201,11.85,28-04-2013,-
0.005063291,11.79,29-04-2013,-
0.007633588,11.7,02-05-2013,-
0.014529915,11.53,03-05-2013,-
0.024284475,11.25,04-05-2013,-
0.017777778,11.05,05-05-2013,-
0.013574661,11.2,06-05-2013,+
0.009821429,11.31,09-05-2013,+
0.00530504,11.37,10-05-2013,+
0.006156552,11.3,11-05-2013,-
0.002654867,11.27,12-05-2013,-
0.019520852,11.05,13-05-2013,-
0.00361991,11.01,16-05-2013,-
0.008174387,10.92,17-05-2013,-
0,10.92,18-05-2013,-
0.008241758,10.83,19-05-2013,-
0.004616805,10.78,20-05-2013,-
0.004638219,10.83,23-05-2013,+
0.000923361,10.82,24-05-2013,-
0.025878004,11.1,25-05-2013,+
0.022522523,11.35,26-05-2013,+
0.044052863,11.85,27-05-2013,+
0.015189873,11.67,31-05-2013,-
0.033419023,11.28,01-06-2013,-
0.016843972,11.09,02-06-2013,-
0.001803427,11.07,03-06-2013,-
0.009936766,10.96,06-06-2013,-
0.012773723,11.1,07-06-2013,+
0.013513514,11.25,08-06-2013,+
0.005333333,11.19,09-06-2013,-
0.023235031,10.93,10-06-2013,-
0.004574565,10.88,13-06-2013,-
0.012867647,11.02,14-06-2013,+
0.028130672,10.71,15-06-2013,-
0.010270775,10.82,16-06-2013,+
0,10.82,17-06-2013,-
0.000924214,10.81,20-06-2013,-
0.001850139,10.79,21-06-2013,-
0.012974977,10.93,22-06-2013,+
0.001829826,10.95,23-06-2013,+
0.00456621,11,24-06-2013,+
0,11,27-06-2013,-
0.007272727,10.92,28-06-2013,-
0.013736264,11.07,29-06-2013,+
0.028003613,11.38,30-06-2013,+
0.019332162,11.6,01-07-2013,+
0.031896552,11.97,05-07-2013,+
0.004177109,11.92,06-07-2013,-
0.030201342,12.28,07-07-2013,+
0.006514658,12.2,08-07-2013,-
0.029508197,11.84,11-07-2013,-
0.003378378,11.8,12-07-2013,-
0.03220339,12.18,13-07-2013,+
0.007389163,12.09,14-07-2013,-
0.016542597,12.29,15-07-2013,+
0.009764036,12.17,18-07-2013,-
0.005751849,12.1,19-07-2013,-
0.067768595,12.92,20-07-2013,+
0.00619195,13,21-07-2013,+
0.004615385,13.06,22-07-2013,+
0.006891271,13.15,25-07-2013,+
0.002281369,13.12,26-07-2013,-
0.011432927,12.97,27-07-2013,-
0.019275251,12.72,28-07-2013,-
0.009433962,12.6,29-07-2013,-
0.029365079,12.97,01-08-2013,+
0.0077101,12.87,02-08-2013,-
0.01010101,12.74,03-08-2013,-
0.002354788,12.77,04-08-2013,+
0.025058731,12.45,05-08-2013,-
0.102008032,11.18,08-08-2013,-
0.055456172,11.8,09-08-2013,+
0.004237288,11.75,10-08-2013,-
0.024680851,12.04,11-08-2013,+
0.00166113,12.06,12-08-2013,+
0.036484245,12.5,15-08-2013,+
0.0064,12.42,16-08-2013,-
0.010466989,12.55,17-08-2013,+
0.078087649,11.57,18-08-2013,-
0.014693172,11.74,19-08-2013,+
0.033219761,12.13,22-08-2013,+
0.04286892,12.65,23-08-2013,+
0.025296443,12.97,24-08-2013,+
0.00385505,12.92,25-08-2013,-
0,12.92,26-08-2013,-
0.004643963,12.86,29-08-2013,-
0.000777605,12.87,30-08-2013,+
0.02952603,13.25,31-08-2013,+
0.00754717,13.35,01-09-2013,+
0.002996255,13.39,02-09-2013,+
0.076923077,12.36,06-09-2013,-
0.03236246,12.76,07-09-2013,+
0.004702194,12.82,08-09-2013,+
0.024960998,12.5,09-09-2013,-
0.0312,12.89,12-09-2013,+
0.008533747,13,13-09-2013,+
0.006923077,13.09,14-09-2013,+
0.0236822,13.4,15-09-2013,+
0.007462687,13.3,16-09-2013,-
0.02406015,12.98,19-09-2013,-
0.00385208,13.03,20-09-2013,+
0.008442057,12.92,21-09-2013,-
0.029411765,12.54,22-09-2013,-
0.035087719,12.1,23-09-2013,-
0.041322314,11.6,26-09-2013,-
0.102586207,12.79,27-09-2013,+
0.017982799,13.02,28-09-2013,+
0.01843318,13.26,29-09-2013,+
0.001508296,13.24,30-09-2013,-
0.0581571,12.47,03-10-2013,-
0.032878909,12.06,04-10-2013,-
0.032338308,12.45,05-10-2013,+
0.001606426,12.47,06-10-2013,+
0.017642342,12.69,07-10-2013,+
0.036249015,13.15,10-10-2013,+
0.013688213,13.33,11-10-2013,+
0.024006002,13.65,12-10-2013,+
0.003663004,13.7,13-10-2013,+
0.01459854,13.5,14-10-2013,-
0.031111111,13.08,17-10-2013,-
0,13.08,18-10-2013,-
0.006116208,13.16,19-10-2013,+
0.022036474,12.87,20-10-2013,-
0.020979021,13.14,21-10-2013,+
0.015981735,13.35,24-10-2013,+
0.011235955,13.5,25-10-2013,+
0.064444444,14.37,26-10-2013,+
0.006958942,14.27,27-10-2013,-
0.022424667,13.95,28-10-2013,-
0.039426523,13.4,31-10-2013,-
0.003731343,13.35,01-11-2013,-
0.079400749,14.41,02-11-2013,+
0.050659264,15.14,03-11-2013,+
0.023778071,14.78,04-11-2013,-
0.01285521,14.59,07-11-2013,-
0.008910212,14.46,08-11-2013,-
0.006915629,14.36,09-11-2013,-
0.004178273,14.42,10-11-2013,+
0.010402219,14.27,11-11-2013,-
0.015416959,14.05,14-11-2013,-
0.002846975,14.09,15-11-2013,+
0.024130589,13.75,16-11-2013,-
0.018181818,13.5,17-11-2013,-
0.018518519,13.25,18-11-2013,-
0.013584906,13.43,21-11-2013,+
0.002978407,13.39,22-11-2013,-
0.01867065,13.14,23-11-2013,-
0.01826484,12.9,25-11-2013,-
0.045736434,13.49,28-11-2013,+
0.024462565,13.82,29-11-2013,+
0.037626628,14.34,30-11-2013,+
0.006973501,14.24,01-12-2013,-
0.014747191,14.03,02-12-2013,-
0.02209551,14.34,05-12-2013,+
0.013947001,14.14,06-12-2013,-
0.010608204,13.99,07-12-2013,-
0.002144389,13.96,08-12-2013,-
0.001432665,13.98,09-12-2013,+
0.009298999,13.85,12-12-2013,-
0,13.85,13-12-2013,-
0.006498195,13.94,14-12-2013,+
0.005021521,14.01,15-12-2013,+
0.005710207,14.09,16-12-2013,+
0.007806955,13.98,19-12-2013,-
0.007868383,14.09,20-12-2013,+
0.036195884,13.58,21-12-2013,-
0.009572901,13.71,22-12-2013,+
0.013129103,13.89,23-12-2013,+
0.000719942,13.9,27-12-2013,+
0.028776978,13.5,28-12-2013,-
0.011851852,13.34,29-12-2013,-
0.014242879,13.15,30-12-2013,-
0.022813688,13.45,03-01-2014,+
0.001486989,13.47,04-01-2014,+
0.028953229,13.86,05-01-2014,+
0.036075036,14.36,06-01-2014,+
0.061977716,15.25,09-01-2014,+
0.007213115,15.14,10-01-2014,-
0.015852048,14.9,11-01-2014,-
0,14.9,12-01-2014,-
0.025503356,15.28,13-01-2014,+
0.008507853,15.15,17-01-2014,-
0.004620462,15.22,18-01-2014,+
0.066360053,16.23,19-01-2014,+
0.067159581,15.14,20-01-2014,-
0.007265522,15.25,23-01-2014,+
0.003278689,15.2,24-01-2014,-
0.009868421,15.35,25-01-2014,+
0.016938111,15.61,26-01-2014,+
0.024983985,15.22,27-01-2014,-
0.00065703,15.21,30-01-2014,-
0.046022354,15.91,31-01-2014,+
0.006285355,16.01,01-02-2014,+
0.003123048,15.96,02-02-2014,-
0.00877193,16.1,03-02-2014,+
0.000621118,16.09,06-02-2014,-
0.005593536,16,07-02-2014,-
0.007500063,16.120001,08-02-2014,+
0.050868483,16.940001,09-02-2014,+
0.017709503,17.24,10-02-2014,+
0.023781903,17.65,13-02-2014,+
0.03286119,17.07,14-02-2014,-
0.024018746,17.48,15-02-2014,+
0.026887929,17.950001,16-02-2014,+
0.008913649,18.110001,17-02-2014,+
0.018774157,18.450001,21-02-2014,+
0.009214092,18.280001,22-02-2014,-
0.024617121,17.83,23-02-2014,-
0.005047672,17.74,24-02-2014,-
0.009582864,17.57,26-02-2014,-
0.001707399,17.540001,27-02-2014,-
0.001710319,17.57,     28-02-2014,+
0,17.57,01-03-2014,-
0.009675583,17.4,02-03-2014,-
0.011494195,17.200001,05-03-2014,-
0.006395407,17.09,06-03-2014,-
0.000585138,17.1,07-03-2014,+
0.02982462,17.610001,08-03-2014,+
0.012493015,17.389999,09-03-2014,-
0.011500748,17.190001,12-03-2014,-
0.018615415,17.51,13-03-2014,+
0.002284352,17.549999,14-03-2014,+
0.005698063,17.65,15-03-2014,+
0.003966006,17.58,16-03-2014,-
0.01706479,17.280001,19-03-2014,-
0.009837962,17.110001,20-03-2014,-
0.003506838,17.049999,21-03-2014,-
0.009970675,17.219999,22-03-2014,+
0.004064983,17.15,23-03-2014,-
0.044314869,17.91,26-03-2014,+
0.004466778,17.99,27-03-2014,+
0.032795998,18.58,28-03-2014,+
0.002691012,18.530001,29-03-2014,-
0.02968165,17.98,30-03-2014,-
0.019466073,18.33,02-04-2014,+
0.006546699,18.450001,03-04-2014,+
0.009214092,18.280001,04-04-2014,-
0.057439767,19.33,05-04-2014,+
0.00931195,19.15,09-04-2014,-
0.026109661,18.65,10-04-2014,-
0.017158123,18.969999,11-04-2014,+
0.00948872,19.15,12-04-2014,+
0.014621358,18.870001,13-04-2014,-
0.023847323,19.32,16-04-2014,+
0.019668789,19.700001,17-04-2014,+
0.017766547,19.35,18-04-2014,-
0.013953488,19.08,19-04-2014,-
0,19.08,20-04-2014,-
0.020440199,18.690001,23-04-2014,-
0.013911182,18.950001,24-04-2014,+
0.002110871,18.91,25-04-2014,-
0.023268112,19.35,26-04-2014,+
0.031007752,18.75,27-04-2014,-
0.013333333,19,30-04-2014,+
0.014210526,19.27,01-05-2014,+
0.006227296,19.15,02-05-2014,-
0.009921723,18.959999,03-05-2014,-
0.026898736,19.469999,04-05-2014,+
