Percent Change,Close,Date,Shift
0.00500503,39.759998,23-12-2015,-
0.003772686,39.91,24-12-2015,+
0.001753946,39.98,26-12-2015,+
0.0015008,39.919998,27-12-2015,-
0.002254409,39.830002,30-12-2015,-
0.000753276,39.799999,31-12-2015,-
0.015075327,39.200001,02-01-2016,-
0.014795867,39.779999,03-01-2016,+
0.002513876,39.880001,06-01-2016,+
0.004764268,40.07,07-01-2016,+
0.002745196,40.18,08-01-2016,+
0.00149333,40.240002,09-01-2016,+
0.007952385,39.919998,10-01-2016,-
0.019288478,39.150002,13-01-2016,-
0.015070242,39.740002,14-01-2016,+
0.005536034,39.52,15-01-2016,-
0.011639676,39.98,16-01-2016,+
0.006503227,39.720001,17-01-2016,-
0.008056369,39.400002,21-01-2016,-
0.00253802,39.5,22-01-2016,+
0.020253139,38.700001,23-01-2016,-
0.028423849,37.599998,24-01-2016,-
0.007446756,37.32,27-01-2016,-
0.008842497,37.650002,28-01-2016,+
0.011952217,37.200001,29-01-2016,-
0.032526854,38.41,30-01-2016,+
0.006769018,38.150002,31-01-2016,-
0.026736591,37.130001,03-02-2016,-
0.017775383,37.790001,04-02-2016,+
0.009526356,38.150002,05-02-2016,+
0.0078638,37.849998,06-02-2016,-
0.008190146,37.540001,07-02-2016,-
0.000799227,37.509998,10-02-2016,-
0.022927247,38.369999,11-02-2016,+
0.005733672,38.59,12-02-2016,+
0.002591319,38.689999,13-02-2016,+
0.000775446,38.720001,14-02-2016,+
0.010072314,39.110001,18-02-2016,+
0.011761672,39.57,19-02-2016,+
0.00227445,39.48,20-02-2016,-
0.013931104,38.93,21-02-2016,-
0.004880529,39.119999,24-02-2016,+
0.001278093,39.07,25-02-2016,-
0.018428513,38.349998,26-02-2016,-
0.001825293,38.419998,27-02-2016,+
0.000780817,38.389999,28-02-2016,-
0.001041964,38.349998,03-03-2016,-
0.038331215,39.82,04-03-2016,+
0.005524887,40.040001,05-03-2016,+
0.016483516,40.700001,06-03-2016,+
0.002211302,40.790001,07-03-2016,+
0.012748247,40.27,10-03-2016,-
0.017879339,39.549999,11-03-2016,-
0.003792592,39.400002,12-03-2016,-
0.014720862,38.82,13-03-2016,-
0.013137609,39.330002,14-03-2016,+
0.010170302,39.73,17-03-2016,+
0.030958973,38.5,18-03-2016,-
0.025974026,37.5,19-03-2016,-
0.000266613,37.490002,20-03-2016,-
0.001333662,37.540001,21-03-2016,+
0.014651012,38.09,24-03-2016,+
0.001575269,38.150002,25-03-2016,+
0.01441688,37.599998,26-03-2016,-
0.012234017,37.139999,27-03-2016,-
0.011308509,36.720001,28-03-2016,-
0.005991231,36.939999,31-03-2016,+
0.031402275,35.779999,01-04-2016,-
0.033538318,36.98,02-04-2016,+
0.014602515,36.439999,03-04-2016,-
0.003841932,36.299999,04-04-2016,-
0.014049532,35.790001,07-04-2016,-
0.02738195,34.810001,08-04-2016,-
0.002010916,34.880001,09-04-2016,+
