Percent Change,Close,Date,Shift
0.003611024,194.550003,17-07-2015,+
0.01768184,197.990005,18-07-2015,+
0.022475943,193.539993,19-07-2015,-
0.002841805,194.089996,22-07-2015,+
0.004585502,194.979996,23-07-2015,+
0.008359858,196.610001,24-07-2015,+
0.003102589,197.220001,25-07-2015,+
0.000659188,197.350006,26-07-2015,+
0.005776534,196.210007,29-07-2015,-
0.001019377,196.009995,30-07-2015,-
0.004948737,195.039993,31-07-2015,-
0.003947934,195.809998,01-08-2015,+
0.003319514,195.160004,02-08-2015,-
0.00174214,195.5,05-08-2015,+
0.023069028,190.990005,06-08-2015,-
0.012723216,188.559998,07-08-2015,-
0.003341138,187.929993,08-08-2015,-
0.00058525,187.820007,09-08-2015,-
0.006761734,189.089996,12-08-2015,+
0.003543276,188.419998,13-08-2015,-
0.004723485,187.529999,14-08-2015,-
0.009278547,185.789993,15-08-2015,-
0.002422073,185.339996,16-08-2015,-
0.005988993,184.229996,19-08-2015,-
0.00179125,184.559998,20-08-2015,+
0.001625504,184.860001,21-08-2015,+
0.00178514,185.190002,22-08-2015,+
0.001241946,185.419998,23-08-2015,+
0.003667312,184.740005,26-08-2015,-
0.010826025,182.740005,27-08-2015,-
0.003173914,182.160004,28-08-2015,-
0.002635019,182.639999,29-08-2015,+
0.002025816,182.270004,30-08-2015,-
0.009271975,183.960007,03-09-2015,+
0.004511861,183.130005,04-09-2015,-
0.005569754,184.149994,05-09-2015,+
0.006081971,183.029999,06-09-2015,-
0.010653975,184.979996,09-09-2015,+
0.008757758,186.600006,10-09-2015,+
0.021972084,190.699997,11-09-2015,+
0.00015731,190.729996,12-09-2015,+
0.00754995,192.169998,13-09-2015,+
0.005099631,193.149994,16-09-2015,+
0.005125498,192.160004,17-09-2015,-
0.011761001,194.419998,18-09-2015,+
0.005297804,193.389999,19-09-2015,-
0.017425901,190.020004,20-09-2015,-
0.005104731,190.990005,23-09-2015,+
0.005340615,189.970001,24-09-2015,-
0.002631995,189.470001,25-09-2015,-
0.00395841,190.220001,26-09-2015,+
0.017348349,186.919998,27-09-2015,-
0.009308822,185.179993,30-09-2015,-
0.006480246,186.380005,01-10-2015,+
0.007618832,184.960007,02-10-2015,-
0.005947264,183.860001,03-10-2015,-
0.001305368,184.100006,04-10-2015,+
0.011352585,182.009995,07-10-2015,-
0.018075897,178.720001,08-10-2015,-
0.01454793,181.320007,09-10-2015,+
0.019027117,184.770004,10-10-2015,+
0.007522866,186.160004,11-10-2015,+
0.00435108,186.970001,14-10-2015,+
0.012354907,184.660004,15-10-2015,-
0.011209747,186.729996,16-10-2015,+
0.063728347,174.830002,17-10-2015,-
0.006005851,173.779999,18-10-2015,-
0.005294038,172.860001,21-10-2015,-
0.01220641,174.970001,22-10-2015,+
0.004572229,175.770004,23-10-2015,+
0.011549178,177.800003,24-10-2015,+
0.005343065,176.850006,25-10-2015,-
0.002827255,177.350006,28-10-2015,+
0.026895905,182.119995,29-10-2015,+
0.010817049,180.149994,30-10-2015,-
0.005217802,179.210007,31-10-2015,-
0.00011154,179.229996,01-11-2015,+
0.005802645,180.270004,04-11-2015,+
0.013424297,177.850006,05-11-2015,-
0.007534416,179.190002,06-11-2015,+
0.00452033,180,07-11-2015,+
5.55E-05,179.990005,08-11-2015,-
0.016056447,182.880005,11-11-2015,+
0.001038944,183.070007,12-11-2015,+
0.002621926,183.550003,13-11-2015,+
0.007300441,182.210007,14-11-2015,-
0.005378382,183.190002,15-11-2015,+
0.006987275,184.470001,18-11-2015,+
0.004228324,185.25,19-11-2015,+
0.000323876,185.190002,20-11-2015,-
0.005723835,184.130005,21-11-2015,-
0.015369586,181.300003,22-11-2015,-
0.013017104,178.940002,25-11-2015,-
0.009109221,177.309998,26-11-2015,-
0.009362151,178.970001,27-11-2015,+
0.003967101,179.679993,29-11-2015,+
0.012243973,177.479996,02-12-2015,-
0.007888179,176.080002,03-12-2015,-
0.001930923,175.740005,04-12-2015,-
0.001934659,176.080002,05-12-2015,+
0.009029964,177.669998,06-12-2015,+
0.001181916,177.460007,09-12-2015,-
0.001915992,177.119995,10-12-2015,-
0.010840097,175.199997,11-12-2015,-
0.010445217,173.369995,12-12-2015,-
0.00328772,172.800003,13-12-2015,-
0.029224554,177.850006,16-12-2015,+
0.011751537,175.759995,17-12-2015,-
0.016727367,178.699997,18-12-2015,+
0.008505898,180.220001,19-12-2015,+
0.001109738,180.020004,20-12-2015,-
0.012276369,182.229996,23-12-2015,+
0.005432723,183.220001,24-12-2015,+
0.011625396,185.350006,26-12-2015,+
0.001456725,185.080002,27-12-2015,-
0.007186092,186.410004,30-12-2015,+
0.006222858,187.570007,31-12-2015,+
0.010875982,185.529999,02-01-2016,-
0.00598286,186.639999,03-01-2016,+
0.003429056,186,06-01-2016,-
0.019946274,189.710007,07-01-2016,+
0.009171925,187.970001,08-01-2016,-
0.003138777,187.380005,09-01-2016,-
0.000640463,187.259995,10-01-2016,-
0.016554476,184.160004,13-01-2016,-
0.009556874,185.919998,14-01-2016,+
0.009789194,187.740005,15-01-2016,+
0.005432992,188.759995,16-01-2016,+
0.00704599,190.089996,17-01-2016,+
0.008732722,188.429993,21-01-2016,-
0.032797289,182.25,22-01-2016,-
0.002633723,182.729996,23-01-2016,+
0.016910179,179.639999,24-01-2016,-
0.009686067,177.899994,27-01-2016,-
0.005902125,176.850006,28-01-2016,-
0.002544597,176.399994,29-01-2016,-
0.005442217,177.360001,30-01-2016,+
0.003834055,176.679993,31-01-2016,-
0.021394607,172.899994,03-02-2016,-
0.00034701,172.839996,04-02-2016,-
0.008100029,174.240005,05-02-2016,+
0.00246782,174.669998,06-02-2016,+
0.014770722,177.25,07-02-2016,+
0.000620598,177.139999,10-02-2016,-
0.014451835,179.699997,11-02-2016,+
0.003005053,180.240005,12-02-2016,+
0.008877003,181.839996,13-02-2016,+
0.010173812,183.690002,14-02-2016,+
0.002721977,183.190002,18-02-2016,-
0.001310142,182.949997,19-02-2016,-
0.007160416,184.259995,20-02-2016,+
0.007977868,182.789993,21-02-2016,-
0.003610723,183.449997,24-02-2016,+
0.001199242,183.229996,25-02-2016,-
0.004529837,184.059998,26-02-2016,+
0.006573976,185.270004,27-02-2016,+
0.000539785,185.169998,28-02-2016,-
0.004914419,184.259995,03-03-2016,-
0.011831147,186.440002,04-03-2016,+
0.003754543,187.139999,05-03-2016,+
0.002671797,187.639999,06-03-2016,+
0.000213142,187.679993,07-03-2016,+
0.00687337,186.389999,10-03-2016,-
0.001985064,186.759995,11-03-2016,+
0.002891379,186.220001,12-03-2016,-
0.01245842,183.899994,13-03-2016,-
0.009189707,182.210007,14-03-2016,-
0.019757373,185.809998,17-03-2016,+
0.005381842,186.809998,18-03-2016,+
0.01124132,184.710007,19-03-2016,-
0.017270245,187.899994,20-03-2016,+
0.006546014,186.669998,21-03-2016,-
0.008464145,188.25,24-03-2016,+
0.03606902,195.039993,25-03-2016,+
0.012407701,192.619995,26-03-2016,-
0.014484441,189.830002,27-03-2016,-
0.003266054,190.449997,28-03-2016,+
0.010711515,192.490005,31-03-2016,+
0.010442075,194.5,01-04-2016,+
0.004884303,193.550003,02-04-2016,-
0.004443301,192.690002,03-04-2016,-
0.004774498,191.770004,04-04-2016,-
0.014340095,194.520004,07-04-2016,+
0.006323314,193.289993,08-04-2016,-
0.017331503,196.639999,09-04-2016,+
0.004882048,195.679993,10-04-2016,-
0.002504042,195.190002,11-04-2016,-
0.0132179,197.770004,14-04-2016,+
0.003792284,197.020004,15-04-2016,-
0.003146939,196.399994,16-04-2016,-
0.032535637,190.009995,17-04-2016,-
0.011894159,192.270004,21-04-2016,+
0.000624174,192.149994,22-04-2016,-
0.002185782,191.729996,23-04-2016,-
0.007875633,190.220001,24-04-2016,-
0.003101651,189.630005,25-04-2016,-
0.018509697,193.139999,28-04-2016,+
0.010199865,195.110001,29-04-2016,+
0.006970427,196.470001,30-04-2016,+
0.014964127,193.529999,01-05-2016,-
0.010799344,191.440002,02-05-2016,-
0.000940279,191.259995,05-05-2016,-
0.006431016,190.029999,06-05-2016,-
0.003841478,189.300003,07-05-2016,-
0.002060217,188.910004,08-05-2016,-
0.006193415,190.080002,09-05-2016,+
0.013099774,192.570007,12-05-2016,+
