Percent Change,Close,Date,Shift
0.007330746,23.360001,13-09-2014,+
0.000428082,23.370001,14-09-2014,+
0.00256748,23.309999,17-09-2014,-
0.002574088,23.370001,18-09-2014,+
0.009413821,23.15,19-09-2014,-
0.001295896,23.18,20-09-2014,+
0.002157075,23.129999,21-09-2014,-
0.014267186,22.799999,24-09-2014,-
0.011403422,22.540001,25-09-2014,-
0.004880168,22.65,26-09-2014,+
0.019426049,23.09,27-09-2014,+
0.01862278,22.66,28-09-2014,-
0.004413063,22.76,01-10-2014,+
0.003514938,22.84,02-10-2014,+
0.012697067,22.549999,03-10-2014,-
0.003547672,22.469999,04-10-2014,-
0.009345839,22.68,05-10-2014,+
0.007495591,22.51,08-10-2014,-
0.027099067,21.9,09-10-2014,-
0.006392694,21.76,10-10-2014,-
0.003676471,21.68,11-10-2014,-
0.009225092,21.48,12-10-2014,-
0.011638734,21.73,15-10-2014,+
0.028531983,22.35,16-10-2014,+
0.025055884,21.790001,17-10-2014,-
0.005507159,21.67,18-10-2014,-
0.018458699,21.27,19-10-2014,-
0.008932722,21.459999,22-10-2014,+
0.006057829,21.59,23-10-2014,+
0.006021352,21.459999,24-10-2014,-
0.010717708,21.690001,25-10-2014,+
0.01198709,21.950001,26-10-2014,+
0.014578678,21.629999,31-10-2014,-
0.029126261,22.26,01-11-2014,+
0.008984771,22.059999,02-11-2014,-
0.009972757,21.84,05-11-2014,-
0.00503663,21.73,06-11-2014,-
0.037735849,20.91,07-11-2014,-
0.003825921,20.83,08-11-2014,-
0.001440278,20.799999,09-11-2014,-
0.00144226,20.77,12-11-2014,-
0.023591671,20.280001,13-11-2014,-
0.015779191,19.959999,14-11-2014,-
0.003507114,20.030001,15-11-2014,+
0.007988018,20.190001,16-11-2014,+
0.002971719,20.25,19-11-2014,+
0.03654321,19.51,20-11-2014,-
0.007688314,19.360001,21-11-2014,-
0.018594937,19.719999,23-11-2014,+
0.00862069,19.889999,26-11-2014,+
0.002011111,19.93,27-11-2014,+
